,symbol
402,ACHE
403,F2
404,FSHR
405,P2RY1
406,P2RY11
407,P2RY13
408,P2RY2
409,PLA2G2A
410,RYR1
411,RYR2
412,SIRT5
413,F2
414,TYR
415,HSD11B1
416,ACHE
417,PARP1
418,DHFR
419,TLR7
420,LTB4R2
421,CHRM1
422,CHRM2
423,CHRM3
424,CHRM4
425,CHRM5
426,CHRM1
427,HTR1E
428,HTR1F
429,HTR1E
430,TRPA1
431,PPARA
432,PPARD
433,PPARA
434,ADRA1A
435,TH
436,HRH1
437,BACE1
438,FASN
439,BACE1
440,CHRNB4
441,OPRD1
442,OPRM1
443,SSTR1
444,SSTR2
445,SSTR3
446,SSTR4
447,SSTR5
448,OPRD1
449,AR
450,PTGIS
451,PTGS1
452,PTGS2
453,PTGIS
454,HTR6
455,IDH2
456,PDE5A
457,BCAT1
458,PCCB
459,VARS
460,BCAT1
461,PTGIR
462,ADRB2
463,BCHE
464,ADRB2
465,HTR1A
466,HTR1B
467,HTR1D
468,HTR1E
469,HTR1F
470,HTR2A
471,HTR2B
472,HTR2C
473,HTR5A
474,HTR6
475,HTR7
476,HTR1A
477,ADRA1A
478,ADRA2A
479,ADRA2B
480,ADRA2C
481,DRD2
482,DRD3
483,DRD4
484,HTR1A
485,HTR1B
486,HTR1D
487,HTR2A
488,HTR2B
489,HTR2C
490,ADRA1A
491,HK2
492,HRH1
493,SLC6A2
494,SLC6A3
495,SLC6A4
496,HRH1
497,GCK
498,ACHE
499,LIAS
500,LIPT1
501,PTGS2
502,SLC5A6
503,ACHE
504,NR3C1
505,CHRM1
506,CHRM2
507,CHRM3
508,CHRM4
509,CHRM5
510,CHRNA2
511,CHRM1
512,ATM
513,PRKDC
514,ATM
515,OPRD1
516,OPRK1
517,OPRM1
518,OPRD1
519,GPER1
520,HRH1
521,ELOVL4
522,FADS1
523,FADS2
524,FFAR1
525,FFAR4
526,PTGS2
527,SLC8A1
528,TRPV1
529,ELOVL4
530,PTGS1
531,PTGS2
532,PTGS1
533,SCN10A
534,SCN5A
535,SCN10A
536,CA1
537,CA12
538,CA7
539,DRD2
540,DRD3
541,CA1
542,DGAT1
543,PTGS1
544,PTGS2
545,PTGS1
546,MGLL
547,FDFT1
548,KCNMA1
549,KCNN4
550,KCNQ2
551,KCNQ4
552,KCNQ5
553,KCNMA1
554,S1PR1
555,PGRMC1
556,GRIN2A
557,GRIN2B
558,GRIN2C
559,GRIN2D
560,GRIN2A
561,CES1
562,CHRM1
563,CES1
564,SOD1
565,SOD2
566,SOD1
567,OPRD1
568,OPRK1
569,OPRM1
570,SIGMAR1
571,OPRD1
572,ACHE
573,BCHE
574,ACHE
575,ADRA1A
576,SLC18A2
577,ADRA1A
578,CSF1R
579,FLT3
580,KIT
581,CSF1R
582,KCNA5
583,KCNE1
584,KCNH2
585,KCNQ1
586,KCNA5
587,EFTUD1
588,FPR1
589,GPBAR1
590,EFTUD1
591,ADRA2A
592,SLC22A6
593,SCN10A
594,SCN11A
595,SCN1A
596,SCN2A
597,SCN3A
598,SCN4A
599,SCN5A
600,SCN7A
601,SCN8A
602,SCN9A
603,SCN10A
604,PTGS1
605,PTGS2
606,PTGS1
607,EHMT1
608,EHMT2
609,EHMT1
610,ADRA1A
611,ADRA1B
612,ADRA1D
613,ADRA2A
614,ADRA2B
615,ADRA2C
616,CHRM1
617,CHRM2
618,CHRM3
619,CHRM4
620,CHRM5
621,DRD1
622,DRD2
623,DRD3
624,DRD4
625,DRD5
626,HRH1
627,HTR2A
628,HTR2C
629,ADRA1A
630,ADRA1A
631,ADRA2A
632,ADRA2B
633,ADRA2C
634,HRH1
635,HRH2
636,ADRA1A
637,IDH1
638,CHRM1
639,CHRM2
640,CHRM3
641,CHRM4
642,CHRM1
643,GRIA1
644,GRIA2
645,GRIA3
646,GRIA4
647,GRIA1
648,KCNMA1
649,KCNN4
