,symbol
419,AKT1
420,EEF2
421,PARP1
422,PARP15
423,PARP3
424,EEF2
425,CETP
426,CDH5
427,RPL3
428,AKT1
429,CHEK1
430,GSK3B
431,LCK
432,MAP2K1
433,MAP2K2
434,MAP2K7
435,MAPK1
436,MAPK11
437,MAPK12
438,MAPK14
439,MAPK8
440,PRKCA
441,RAF1
442,ROCK1
443,RPS6KB1
444,SGK1
445,AKT1
446,MET
447,MDM2
448,FLT3
449,PLK1
450,PLK2
451,PLK3
452,FLT3
453,AURKB
454,BCL2
455,MAP2
456,MAP4
457,MAPT
458,NR1I2
459,TLR4
460,TUBB
461,TUBB1
462,BCL2
463,ATP1A1
464,ATP1A2
465,ATP1A3
466,ATP1A4
467,ATP1B1
468,ATP1B2
469,ATP1B3
470,FXYD2
471,ATP1A1
472,TYMS
473,GRM5
474,ADRA1A
475,ADRA1B
476,ADRA1D
477,ADRA2A
478,ADRA2B
479,ADRA2C
480,ADRB1
481,ADRB2
482,ADRB3
483,PAH
484,SLC18A1
485,SLC18A2
486,ADRA1A
487,NTRK1
488,TACR3
489,HDAC2
490,PIK3R1
491,HDAC2
492,IGF2R
493,M6PR
494,IGF2R
495,AKT2
496,GSK3B
497,PKIA
498,PRKACA
499,AKT2
500,NR3C1
501,PIK3CA
502,PIK3CB
503,PIK3CD
504,PIK3CG
505,PIK3CA
506,TUBB
507,CDK2
508,CDK4
509,CDK7
510,NTRK1
511,CDK2
512,HDAC1
513,ABL1
514,EGFR
515,HCK
516,KDR
517,MTOR
518,PDGFRA
519,PIK3CA
520,PIK3CB
521,PIK3CD
522,PIK3CG
523,PRKDC
524,SRC
525,ABL1
526,IFNG
527,AURKA
528,FLT3
529,KDR
530,PDGFRA
531,PTK2
532,SRC
533,AURKA
534,SLC6A5
535,SLC6A9
536,SLC6A5
537,SQLE
538,BCL2L1
539,AURKA
540,AURKB
541,KDR
542,AURKA
543,TRPV1
544,CRBN
545,PTGS2
546,TNF
547,CRBN
548,SLC12A1
549,FGFR1
