,feature_name
103,sensitivity_BRD-A10420615-001-04-4::2.5::HTS
104,sensitivity_BRD-A10523515-001-07-9::2.5::HTS
105,sensitivity_BRD-A10652366-238-04-1::2.5::HTS
106,sensitivity_BRD-A10662413-043-11-2::2.5::HTS
107,sensitivity_BRD-A10739734-003-10-6::2.5::HTS
108,sensitivity_BRD-A10903566-003-07-7::2.5::HTS
109,sensitivity_BRD-A10967948-003-06-3::2.5::HTS
110,sensitivity_BRD-A10977446-001-12-1::2.5::HTS
111,sensitivity_BRD-A11070335-236-02-1::2.5::HTS
112,sensitivity_BRD-A11132253-001-08-2::2.5::HTS
113,sensitivity_BRD-A11551002-001-04-6::2.5::HTS
114,sensitivity_BRD-A11662333-001-03-3::2.5::HTS
115,sensitivity_BRD-A11731518-001-01-7::2.5::HTS
116,sensitivity_BRD-A11776908-065-01-5::2.5::HTS
117,sensitivity_BRD-A11813248-003-02-4::2.5::HTS
118,sensitivity_BRD-A11815689-001-01-1::2.5::HTS
119,sensitivity_BRD-A11990600-001-03-4::2.5::HTS
120,sensitivity_BRD-A12077521-003-01-5::2.5::HTS
121,sensitivity_BRD-A12230535-001-06-7::2.5::HTS
122,sensitivity_BRD-A12237696-001-04-2::2.5::HTS
123,sensitivity_BRD-A12417644-001-07-6::2.31::HTS
124,sensitivity_BRD-A12454076-001-01-9::2.5::HTS
125,sensitivity_BRD-A12896037-001-04-3::2.5::HTS
126,sensitivity_BRD-A12994259-001-02-1::2.5::HTS
127,sensitivity_BRD-A13084692-001-17-3::2.5::HTS
128,sensitivity_BRD-A13133631-001-04-0::2.5::HTS
129,sensitivity_BRD-A13188892-066-21-5::2.5::HTS
130,sensitivity_BRD-A13323580-001-04-8::2.5::HTS
131,sensitivity_BRD-A13561534-003-02-0::2.5::HTS
132,sensitivity_BRD-A13598753-001-01-2::2.5::HTS
133,sensitivity_BRD-A13946108-001-17-1::2.5::HTS
134,sensitivity_BRD-A13964793-001-02-6::2.5::HTS
135,sensitivity_BRD-A14208071-004-19-8::2.5::HTS
136,sensitivity_BRD-A14240607-003-26-1::2.5::HTS
137,sensitivity_BRD-A14262390-065-01-8::2.5::HTS
138,sensitivity_BRD-A14316475-001-02-3::2.5::HTS
139,sensitivity_BRD-A14344385-001-03-2::2.5::HTS
140,sensitivity_BRD-A14395271-074-17-8::2.5::HTS
141,sensitivity_BRD-A14574269-051-02-2::2.5::HTS
142,sensitivity_BRD-A14886633-001-01-6::2.5::HTS
143,sensitivity_BRD-A14941520-051-01-0::2.5::HTS
144,sensitivity_BRD-A14966924-003-07-7::2.5::HTS
145,sensitivity_BRD-A15035311-001-01-8::2.5::HTS
146,sensitivity_BRD-A15202882-003-02-7::2.5::HTS
147,sensitivity_BRD-A15297126-001-04-3::2.5::HTS
148,sensitivity_BRD-A15397381-001-02-5::2.5::HTS
149,sensitivity_BRD-A15415227-003-02-9::2.5::HTS
150,sensitivity_BRD-A15435692-003-02-3::2.5::HTS
151,sensitivity_BRD-A15530910-001-02-1::2.5::HTS
152,sensitivity_BRD-A15909516-001-06-6::2.5::HTS
153,sensitivity_BRD-A15931911-001-03-8::2.5::HTS
154,sensitivity_BRD-A16296925-001-01-3::2.5::HTS
155,sensitivity_BRD-A16347691-001-13-1::2.5::HTS
156,sensitivity_BRD-A16350940-001-01-9::2.5::HTS
157,sensitivity_BRD-A16439188-001-01-1::2.5::HTS
