,ghi
CRY1,3.8124982253300006
PGLYRP1,0.0
NFIX,3.33771109213
ST3GAL1,3.93357263826
MMP25,0.0143552929771
IL32,0.0
PKD1,4.61647532878
MAPK8IP2,4.8664134811199995
MED24,5.2979250525
RHOBTB2,2.57046293103
HEATR5B,3.67581593117
SEC62,6.0680258385800006
RPS20,12.2474528646
CSDE1,7.56124975286
UBE3C,4.958378711569999
REV3L,4.18428029442
TENM1,0.0143552929771
PAX7,0.0
MASP2,0.454175893186
IYD,0.0
FAM76A,1.6229303509200002
TRAF3IP3,0.0703893278914
POMT2,4.1497471195
VTA1,5.25587835258
MLXIPL,0.0285691521968
BAZ1B,5.226123143130001
RANBP9,5.20554891117
ETV7,0.23878685958700002
SPRTN,3.56071495447
METTL13,5.0360636887400005
DYRK4,4.017031080530001
ZNF207,6.8313705879699995
UQCRC1,6.95791459863
STARD3NL,6.47686768893
CD9,4.79597469421
HHATL,0.0
NCAPD2,5.67129337248
IFFO1,3.8599695482199996
GIPR,0.163498732283
PHF7,0.0
SEMA3G,0.356143810225
NISCH,4.423578170980001
STAB1,0.0143552929771
FUZ,5.28872767951
SLC6A13,0.432959407276
IDS,2.9221978483999997
PRSS3,0.0
ZNF200,3.5285713188699996
CD4,0.0143552929771
LRRC23,2.5210507369
BTK,4.93875626149
HFE,0.150559676575
SCMH1,3.7015490569400002
FYN,5.07980475464
HIVEP2,1.7907720378599998
FMO1,0.0143552929771
ELOA,4.95791459863
LYPLA2,5.697940582619999
CLCN6,2.98913900737
MRC2,5.06134418829
SLC6A7,0.0143552929771
TSPAN9,4.3476656563
BTBD7,3.1937717433999997
APBA3,2.19534759832
MKS1,3.37851162325
ABHD5,2.31614574229
ANOS1,0.526068811668
AKAP8L,5.90977310414
MBTD1,3.80115865609
UTP18,5.839455765219999
RNF216,4.202417721580001
TTC19,4.923624611369999
PTBP1,6.63647961878
DPF1,0.956056652412
SYT7,1.22650852981
LARS2,3.2868811477900004
PIK3C2A,3.4982508675300004
PLAUR,2.66902676551
ANLN,5.25171909261
WIZ,2.89917563048
RABGAP1,3.15542543175
DCN,0.0976107966264
QPCTL,3.0857645537800003
PPP5C,6.05050169745
CEP68,3.1127001327499997
MAP4K3,4.89044669268
ZBTB32,0.0
TYROBP,0.0
TMEM159,2.92409988564
GABRA3,2.07038932789
BRCA1,5.14893410453
ERCC1,5.1399605695499995
CD22,2.3950627995200002
SEMA3B,1.7441610955700002
MBTPS2,4.84849775539
PRICKLE3,2.71149490665
LTF,0.0
EXTL3,3.06350294231
NR1H4,0.0
ELOVL5,7.01658546043
ALOX5,0.0
KDM5D,0.0
CALCOCO1,4.58676474336
UBR7,4.33842441478
MAP4K5,4.04001567885
EHD3,3.80115865609
PSMC4,7.12256919222
MAN2B2,1.04264433741
SLC7A14,0.0
CLDN11,0.17632277264000001
SLC25A39,6.48751850607
MVP,5.15137177625
NUB1,5.14649230698
PGM3,4.35825558671
RWDD2A,1.62760683813
CLK1,6.1372985809200005
POLR3B,3.15055967658
ANGEL1,2.60644222813
RNF14,5.596040632669999
DNASE1L1,4.02945288579
DDX11,4.63517394667
HEBP1,4.495055528369999
GPRC5A,0.8155754288629999
MAMLD1,0.454175893186
