X1,genes,pvalue,statistic,padj
1840,expression_POMGNT1,1.90492285255594e-15,0.126703617558272,3.50696297155548e-12
1841,expression_DIAPH2,1.87935952242507e-15,0.1267283614589,3.46178024030697e-12
1842,expression_ADPRHL1,1.82924293089544e-15,0.126777849260157,3.3712947216403e-12
1843,expression_EPB41L5,1.81937883715843e-15,0.126787746820409,3.35493457572014e-12
1844,expression_TCEAL8,1.79494737421066e-15,0.126812490721037,3.31167790541866e-12
1845,expression_WNT9A,1.79010002598331e-15,0.126817439501163,3.30452464796519e-12
1846,expression_APOM,1.78526557987525e-15,0.126822388281289,3.29738552602959e-12
1847,expression_LRRIQ1,1.77083931645069e-15,0.126837234621666,3.27251105680087e-12
1848,expression_KDELR3,1.76605614143923e-15,0.126842183401791,3.26543780552114e-12
1849,expression_DPF2,1.73292860066639e-15,0.126876824862671,3.20765083983327e-12
1850,expression_TM9SF2,1.73292860066627e-15,0.126876824862671,3.20765083983327e-12
1851,expression_LRRC49,1.71891927264924e-15,0.126891671203048,3.1834384929464e-12
1852,expression_SDF2,1.6730228539011e-15,0.126941159004305,3.10011134827875e-12
1853,expression_OTOGL,1.65500437958967e-15,0.126960954124808,3.06837811975924e-12
1854,expression_BAIAP2,1.58053595668299e-15,0.127045083386945,2.93189419964694e-12
1855,expression_RNF7,1.56349970780144e-15,0.127064878507448,2.90185545767946e-12
1856,expression_FAM209B,1.55926900408186e-15,0.127069827287574,2.89556254058001e-12
1857,expression_COL2A1,1.48099613628844e-15,0.127163854109962,2.75169082122392e-12
1858,expression_MMAB,1.46501796350326e-15,0.127183649230465,2.72346839415257e-12
1859,expression_CLDN9,1.4610500430553e-15,0.12718859801059,2.71755308008286e-12
1860,expression_ANXA8L1,1.42194888788097e-15,0.127238085811847,2.64624688034649e-12
1861,expression_NPIPB3,1.41809597151536e-15,0.127243034591973,2.6404946989616e-12
1862,expression_ZNRF3,1.38764083777141e-15,0.127282624832979,2.58517488076814e-12
1863,expression_TBC1D9,1.37638715114105e-15,0.127297471173356,2.56558564972692e-12
1864,expression_IRX5,1.30717409861076e-15,0.127391497995744,2.43787969390907e-12
1865,expression_FBXO24,1.27906873620519e-15,0.12743108823675,2.38674226175888e-12
1866,expression_MYPOP,1.24139420355035e-15,0.127485524818132,2.3176829780285e-12
1867,expression_HAPLN2,1.23802398630224e-15,0.127490473598258,2.31262880641259e-12
1868,expression_MAGEF1,1.18853985009212e-15,0.127564705300144,2.22138097982216e-12
1869,expression_FOXC1,1.15663894474534e-15,0.1276141931014,2.16291482667378e-12
1870,expression_ACSBG1,1.13481202408112e-15,0.12764883456228,2.12323329705578e-12
1871,expression_AMN1,1.0953481757216e-15,0.127713168703915,2.05049178495083e-12
1872,expression_HPCA,1.08347991511876e-15,0.127732963824417,2.02935788101743e-12
1873,expression_GNB2,1.08053271245951e-15,0.127737912604543,2.02491830314912e-12
1874,expression_TCTA,1.05723785395358e-15,0.127777502845549,1.98232097616296e-12
1875,expression_TMEM191C,1.04009226926502e-15,0.127807195526303,1.95121309714117e-12
1876,expression_DIXDC1,1.02881446338953e-15,0.127826990646806,1.93108474778215e-12
1877,expression_SH3PXD2A,1.00936765513604e-15,0.127861632107685,1.89559245634548e-12
1878,expression_NEIL1,1.00661928532459e-15,0.127866580887811,1.89244425641018e-12
1879,expression_GCH1,1.00661928532456e-15,0.127866580887811,1.89244425641018e-12
1880,expression_AQP6,9.7686986484572e-16,0.127921017469194,1.8374922157748e-12
1881,expression_SLC4A11,9.71554778622357e-16,0.127930915029445,1.8294376481459e-12
1882,expression_TMC7,9.71554778622357e-16,0.127930915029445,1.8294376481459e-12
1883,expression_ALB,9.22462366325467e-16,0.128024941851834,1.73791909815718e-12
1884,expression_ARHGAP27,9.07473751819416e-16,0.128054634532588,1.7105880221796e-12
1885,expression_CRYBG1,8.8061561277124e-16,0.12810907111397,1.66084104568656e-12
1886,expression_MTHFR,8.6157614904488e-16,0.128148661354976,1.62579419324769e-12
1887,expression_PDCD4,8.59224936249604e-16,0.128153610135102,1.62221667963925e-12
1888,expression_HAS3,8.42942637433812e-16,0.128188251595982,1.59231864211247e-12
1889,expression_EPB41L4B,8.1796876306552e-16,0.128242688177364,1.54596096219383e-12
1890,expression_ABHD17C,8.11285255464814e-16,0.128257534517741,1.53414041808396e-12
1891,expression_STRC,7.95899066275269e-16,0.128292175978621,1.50663693245903e-12
1892,expression_ZNF140,7.95899066275241e-16,0.128292175978621,1.50663693245903e-12
1893,expression_TLE1,7.72300125962518e-16,0.128346612560004,1.46273643857301e-12
1894,expression_FBXW9,7.57643223569879e-16,0.128381254020884,1.43573390866492e-12
1895,expression_HSD17B4,7.5557189278563e-16,0.12838620280101,1.43256430872155e-12
1896,expression_LPAR3,7.51445966355374e-16,0.128396100361261,1.42549299817614e-12
1897,expression_CYTH1,7.35163233568439e-16,0.128435690602266,1.3953398173129e-12
1898,expression_STPG1,7.31147208898145e-16,0.128445588162518,1.38844854969758e-12
