,symbol
404,CDC42BPA
405,SIPA1L3
406,MAGI2
407,EPHA5
408,BAI2
409,DOCK4
410,NFASC
411,SAMD9L
412,SCAF4
413,GRM8
414,NCOR1
415,PRDM16
416,COL5A2
417,MYH11
418,WDR52
419,ASXL1
420,TJP1
421,COL15A1
422,PRR14L
423,ANKRD26
424,TUBGCP6
425,TET2
426,TRO
427,COL1A2
428,MSH6
429,ARFGEF2
430,TANC1
431,KIF21B
432,MDGA2
433,CFTR
434,MYOF
435,USP24
436,HEATR5A
437,MBD5
438,LMTK3
439,WDR7
440,MYO5B
441,NLRP4
442,SIGLEC1
443,DOCK7
444,C20orf26
445,TICRR
446,CEP250
447,ATAD5
448,ARHGEF10
449,PTCHD2
450,FBXW7
451,JAG2
452,GRM5
453,VWDE
454,CASC5
455,ZNF236
456,NFXL1
457,XIRP1
458,FANCA
459,ADAMTSL1
460,XRN1
461,NDST4
462,COL6A2
463,INO80
464,CEP192
465,PREX1
466,PDCD11
467,PLEKHA6
468,PKDREJ
469,KIF2B
470,POLD1
471,IRS1
472,MCPH1
473,CDH9
474,KCNH7
475,ARHGAP32
476,AFF3
477,KIAA0825
478,SBF2
479,HDAC4
480,KMT2E
481,C2orf16
482,WDR72
483,KIAA0368
484,MADD
485,CCDC168
486,FILIP1
487,MLLT4
488,PCDHA13
489,SYNJ2
490,TENC1
491,DUOX2
492,ADCY1
493,ZMYM6
494,SALL1
495,PDE3A
496,BMS1
497,POLA1
